,Type,ID,Date,ID_Group,Push,Boo,Neutral,Statistics,Total messages,Popularity
0,停權,exia0105,2009-08-20-4,M.1250728768.A.E6F,0,0,0,0,0,Normal
1,停權,amy51331,2015-08-16-7,M.1439654419.A.755,0,0,0,0,0,Normal
2,停權,kurumi5325,2019-10-29-2,M.1572327498.A.52E,1,0,0,1,1,Good
3,停權,kid1999,2017-08-19-6,M.1503122825.A.30D,0,0,0,0,0,Normal
4,停權,YJJ,2015-02-11-3,M.1423665311.A.F00,0,0,0,0,0,Normal
5,停權,junior5678,2015-02-11-3,M.1423665456.A.42F,0,0,0,0,0,Normal
6,停權,kshsrefined,2014-11-22-6,M.1416586132.A.C53,0,0,0,0,0,Normal
7,停權,weichipedia,2018-08-31-5,M.1535683702.A.12E,0,0,0,0,0,Normal
8,停權,cutecandy,2014-11-22-6,M.1416586132.A.C53,0,0,0,0,0,Normal
9,停權,Rampager,2017-08-16-3,M.1502883894.A.281,0,0,0,0,0,Normal
10,停權,shan0526,2016-04-8-5,M.1460051771.A.CEF,1,0,0,1,1,Good
11,停權,sherry00004,2019-07-4-4,M.1562215636.A.CE8,1,0,0,1,1,Good
12,停權,iljeby,2018-10-6-6,M.1538835756.A.2B7,1,0,0,1,1,Good
13,停權,momodirk,2019-08-16-5,M.1565970051.A.2B7,1,0,0,1,1,Good
14,停權,m7504m,2016-04-7-4,M.1460044210.A.56B,1,0,0,1,1,Good
15,停權,cash35,2016-05-24-2,M.1464019903.A.043,1,0,0,1,1,Good
16,停權,karot,2018-01-28-7,M.1517106859.A.EC1,0,0,0,0,0,Normal
17,停權,testtesttest,2017-02-22-3,M.1487727110.A.D6B,0,0,1,0,1,Normal
18,停權,HwangTW,2015-08-18-2,M.1439910293.A.877,0,0,2,0,2,Normal
19,停權,alice035491,2018-11-10-6,M.1541823356.A.363,1,0,0,1,1,Good
20,停權,HollisterCo,2018-04-25-3,M.1524642881.A.9DC,1,0,0,1,1,Good
21,停權,JANGMI,2015-12-17-4,M.1450321366.A.FAD,0,0,0,0,0,Normal
22,停權,a45601236qq,2018-01-21-7,M.1516531671.A.622,0,0,0,0,0,Normal
23,停權,luvcat,2016-06-13-1,M.1465750468.A.40F,2,0,0,2,2,Good
24,停權,BBDurant,2018-09-15-6,M.1537017153.A.58E,0,0,0,0,0,Normal
25,停權,domon005365,2009-11-8-7,M.1257686845.A.110,0,0,0,0,0,Normal
26,停權,kitkat,2019-09-24-2,M.1569305023.A.03B,1,0,0,1,1,Good
27,停權,vespam,2016-03-22-2,M.1458643110.A.4A9,1,0,0,1,1,Good
28,停權,kiki892303,2015-07-4-6,M.1436010631.A.767,0,0,1,0,1,Normal
29,停權,waynecode,2019-08-16-5,M.1565926924.A.39A,1,0,0,1,1,Good
30,停權,shc855028,2014-11-26-3,M.1416983519.A.900,0,0,0,0,0,Normal
31,停權,jubilantday,2018-05-26-6,M.1527300804.A.A74,1,0,0,1,1,Good
32,停權,qsg803908,2018-06-12-2,M.1528805057.A.039,2,0,0,2,2,Good
33,停權,QQGIRL20,2017-08-16-3,M.1502883736.A.2CC,0,0,0,0,0,Normal
34,停權,chi7923,2018-11-27-2,M.1543290065.A.5EC,2,0,0,2,2,Good
35,停權,maki1129,2017-08-5-6,M.1501863886.A.2B1,1,0,0,1,1,Good
36,停權,sonlee888,2019-06-14-5,M.1560472384.A.6A1,1,0,0,1,1,Good
37,停權,handsomeding,2018-10-22-1,M.1540183219.A.AD9,1,0,0,1,1,Good
38,停權,jaber0621,2018-07-11-3,M.1531273932.A.E41,2,0,0,2,2,Good
39,停權,killer922,2015-09-23-3,M.1442939805.A.5B9,1,0,0,1,1,Good
40,停權,ho2002,2019-05-25-6,M.1558796457.A.431,1,0,0,1,1,Good
41,停權,Cczr,2019-05-28-2,M.1559048850.A.199,1,0,0,1,1,Good
42,停權,et718k,2017-10-23-1,M.1508773112.A.AEC,0,0,0,0,0,Normal
43,停權,wanderpath,2015-07-30-4,M.1438267882.A.74B,0,0,1,0,1,Normal
44,停權,KattU,2017-08-19-6,M.1503123000.A.BE3,0,0,0,0,0,Normal
45,停權,mtlptt,2017-08-27-7,M.1503831150.A.5C0,0,0,0,0,0,Normal
46,停權,syspc,2018-02-8-4,M.1518071484.A.216,0,0,0,0,0,Normal
47,停權,liushr,2018-02-8-4,M.1518071484.A.216,0,0,0,0,0,Normal
48,停權,happy8584,2018-07-23-1,M.1532281330.A.EC6,1,0,0,1,1,Good
49,停權,pinkstar1106,2019-07-14-7,M.1563097003.A.453,1,0,0,1,1,Good
50,停權,ayu315,2019-10-14-1,M.1571030553.A.BAD,1,0,0,1,1,Good
51,停權,flyer2018,2018-04-6-5,M.1522998074.A.CE8,0,0,0,0,0,Normal
52,機器人,Amumu,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
53,機器人,yooooooooooo,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
54,機器人,SODemand5566,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
55,機器人,et291508,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
56,機器人,Laprovittola,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
57,機器人,frank820l30,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
58,機器人,GregOden,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
59,機器人,RichPaul,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
60,機器人,DanteExum,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
61,機器人,JPstudy,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
62,機器人,at251022,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
63,機器人,merenwen,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
64,機器人,Minix,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
65,機器人,Karthus,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
66,機器人,mizuru,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
67,機器人,AronBaynes,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
